"","Year","Period","Black","White","Hispanic","Asian","Total"
"1",1948,"M01",0,0,0,0,16325
"2",1948,"M02",0,0,0,0,16361
"3",1948,"M03",0,0,0,0,16240
"4",1948,"M04",0,0,0,0,16706
"5",1948,"M05",0,0,0,0,16344
"6",1948,"M06",0,0,0,0,16934
"7",1948,"M07",0,0,0,0,16999
"8",1948,"M08",0,0,0,0,16631
"9",1948,"M09",0,0,0,0,16861
"10",1948,"M10",0,0,0,0,16564
"11",1948,"M11",0,0,0,0,16682
"12",1948,"M12",0,0,0,0,16879
"13",1949,"M01",0,0,0,0,16662
"14",1949,"M02",0,0,0,0,16815
"15",1949,"M03",0,0,0,0,16861
"16",1949,"M04",0,0,0,0,16585
"17",1949,"M05",0,0,0,0,16686
"18",1949,"M06",0,0,0,0,16487
"19",1949,"M07",0,0,0,0,16706
"20",1949,"M08",0,0,0,0,16757
"21",1949,"M09",0,0,0,0,16725
"22",1949,"M10",0,0,0,0,16857
"23",1949,"M11",0,0,0,0,17003
"24",1949,"M12",0,0,0,0,16862
"25",1950,"M01",0,0,0,0,16778
"26",1950,"M02",0,0,0,0,16829
"27",1950,"M03",0,0,0,0,16786
"28",1950,"M04",0,0,0,0,17355
"29",1950,"M05",0,0,0,0,17138
"30",1950,"M06",0,0,0,0,17431
"31",1950,"M07",0,0,0,0,17254
"32",1950,"M08",0,0,0,0,17649
"33",1950,"M09",0,0,0,0,17429
"34",1950,"M10",0,0,0,0,17769
"35",1950,"M11",0,0,0,0,17785
"36",1950,"M12",0,0,0,0,17694
"37",1951,"M01",0,0,0,0,17882
"38",1951,"M02",0,0,0,0,17835
"39",1951,"M03",0,0,0,0,18213
"40",1951,"M04",0,0,0,0,18012
"41",1951,"M05",0,0,0,0,18216
"42",1951,"M06",0,0,0,0,17948
"43",1951,"M07",0,0,0,0,18542
"44",1951,"M08",0,0,0,0,18305
"45",1951,"M09",0,0,0,0,18088
"46",1951,"M10",0,0,0,0,18305
"47",1951,"M11",0,0,0,0,18245
"48",1951,"M12",0,0,0,0,18556
"49",1952,"M01",0,0,0,0,18602
"50",1952,"M02",0,0,0,0,18550
"51",1952,"M03",0,0,0,0,18220
"52",1952,"M04",0,0,0,0,18314
"53",1952,"M05",0,0,0,0,18482
"54",1952,"M06",0,0,0,0,18544
"55",1952,"M07",0,0,0,0,18382
